,P7,O1,O2,P8,TIME
2393,4600.513,3962.564,3873.333,4314.872,1606508973.1504
2394,4608.718,3966.154,3871.795,4312.821,1606508973.1581
2395,4614.359,3971.282,3875.385,4313.846,1606508973.1659
2396,4617.949,3973.846,3876.41,4315.385,1606508973.1737
2397,4611.282,3970.769,3874.872,4314.872,1606508973.1815
2398,4612.308,3974.872,3882.564,4321.026,1606508973.1892
2399,4620.513,3982.051,3886.154,4327.692,1606508973.1971
2400,4618.462,3978.462,3881.026,4327.692,1606508973.2049
2401,4614.359,3977.436,3880.513,4328.718,1606508973.2129
2402,4615.385,3980.513,3880.0,4329.231,1606508973.2207
2403,4611.282,3973.333,3871.795,4320.513,1606508973.2286
2404,4615.897,3969.744,3869.744,4314.359,1606508973.2364
2405,4618.974,3969.744,3875.385,4322.051,1606508973.2443
2406,4606.154,3965.128,3876.923,4324.103,1606508973.2522
2407,4605.128,3970.256,3880.513,4317.949,1606508973.2601
2408,4620.0,3978.974,3885.128,4324.615,1606508973.2679
2409,4623.077,3981.026,3889.231,4341.538,1606508973.2758
2410,4619.487,3984.103,3892.821,4344.615,1606508973.2836
2411,4620.513,3983.59,3889.231,4332.308,1606508973.2916
2412,4615.385,3977.949,3878.462,4322.564,1606508973.2994
2413,4608.205,3976.41,3876.923,4325.641,1606508973.3071
2414,4609.744,3970.769,3880.0,4326.667,1606508973.3149
2415,4616.923,3967.692,3877.949,4317.436,1606508973.3226
2416,4610.256,3968.718,3868.205,4306.667,1606508973.3305
2417,4592.821,3960.0,3862.564,4309.231,1606508973.3382
2418,4597.949,3958.974,3872.308,4322.051,1606508973.346
2419,4624.103,3978.974,3885.641,4335.385,1606508973.3537
2420,4635.897,3991.795,3891.282,4349.231,1606508973.3616
2421,4625.641,3982.564,3891.795,4352.821,1606508973.3695
2422,4610.256,3971.282,3889.744,4342.051,1606508973.3774
2423,4609.744,3979.487,3887.179,4338.462,1606508973.3852
2424,4622.564,3990.256,3885.641,4344.615,1606508973.3931
2425,4623.077,3982.564,3881.026,4338.462,1606508973.4009
2426,4613.333,3974.359,3876.41,4327.179,1606508973.4088
2427,4619.487,3980.513,3873.846,4330.256,1606508973.4167
2428,4622.051,3977.949,3873.333,4336.41,1606508973.4246
2429,4610.256,3968.718,3881.026,4337.436,1606508973.4324
2430,4617.436,3976.41,3888.718,4344.615,1606508973.4403
2431,4623.59,3975.897,3889.231,4351.282,1606508973.4481
2432,4596.923,3961.026,3886.154,4341.026,1606508973.4561
2433,4586.667,3971.282,3878.974,4331.282,1606508973.4639
2434,4606.154,3986.154,3878.462,4343.077,1606508973.4716
2435,4610.769,3970.256,3884.615,4353.333,1606508973.4794
2436,4631.282,3974.872,3893.846,4359.487,1606508973.4871
2437,4666.154,4008.718,3900.0,4367.692,1606508973.495
2438,4647.692,4001.538,3894.359,4359.487,1606508973.5027
2439,4609.231,3973.333,3886.667,4347.692,1606508973.5105
2440,4615.897,3978.974,3888.718,4355.385,1606508973.5182
2441,4624.615,3989.744,3892.308,4357.949,1606508973.526
2442,4616.41,3985.641,3888.718,4342.564,1606508973.5338
2443,4621.026,3987.692,3886.154,4342.564,1606508973.5416
2444,4629.744,3990.769,3893.333,4358.974,1606508973.5493
2445,4625.641,3989.231,3897.949,4362.564,1606508973.5571
2446,4622.564,3992.821,3895.897,4355.897,1606508973.5648
2447,4633.333,3996.41,3901.026,4363.59,1606508973.5728
2448,4635.385,3989.231,3902.051,4369.231,1606508973.5806
2449,4624.615,3985.128,3886.154,4356.41,1606508973.5885
2450,4626.667,3989.744,3881.538,4349.231,1606508973.5963
2451,4631.795,3989.231,3893.846,4354.359,1606508973.6042
2452,4621.538,3981.026,3893.846,4352.821,1606508973.6121
2453,4620.513,3981.026,3892.821,4354.359,1606508973.62
